Time [s]     Potential            Kinetic              Total               
---------------------------------------------------------------------------
0            -2.62499946          0                    -2.62499946         
0.01         -2.62804055          0.00303979148        -2.62500076         
0.02         -2.63718706          0.012186572          -2.62500049         
0.03         -2.65252429          0.0275229625         -2.62500133         
0.04         -2.67418814          0.049187988          -2.62500015         
0.05         -2.7023769           0.0773790628         -2.62499784         
0.06         -2.73735255          0.112354808          -2.62499774         
0.07         -2.77943856          0.154438794          -2.62499976         
0.08         -2.82902384          0.204023421          -2.62500042         
0.09         -2.88657439          0.261575043          -2.62499934         
0.1          -2.95263791          0.327639401          -2.62499851         
0.11         -3.02784348          0.402846277          -2.6249972          
0.12         -3.11291206          0.487915099          -2.62499696         
0.13         -3.20865369          0.583657503          -2.62499619         
0.14         -3.31597316          0.690977275          -2.62499589         
0.15         -3.43586075          0.810864508          -2.62499624         
0.16         -3.56937325          0.944378972          -2.62499428         
0.17         -3.71760964          1.09261787           -2.62499177         
0.18         -3.88164854          1.25665474           -2.6249938          
0.19         -4.06243157          1.43743646           -2.62499511         
0.2          -4.26060498          1.63560843           -2.62499654         
0.21         -4.47622919          1.85123301           -2.62499619         
0.22         -4.70833361          2.08333874           -2.62499487         
0.23         -4.95420957          2.32921529           -2.62499428         
0.24         -5.20833385          2.58333254           -2.62500131         
0.25         -5.46075726          2.83574343           -2.62501383         
0.26         -5.69487548          3.06984043           -2.62503505         
0.27         -5.88458204          3.25951695           -2.62506509         
0.28         -5.99141622          3.36630774           -2.62510848         
0.29         -5.96357274          3.33841252           -2.62516022         
0.3          -5.74120224          3.11599398           -2.62520826         
0.31         -5.27557254          2.65033889           -2.62523365         
0.32         -4.56916845          1.94398499           -2.62518346         
0.33         -3.72908807          1.10404313           -2.62504494         
0.34         -2.98911989          0.364256442          -2.62486345         
0.35         -2.63234639          0.00759457704        -2.62475181         
0.36         -2.81829894          0.193489328          -2.62480961         
0.37         -3.46204162          0.837053955          -2.62498766         
0.38         -4.30030739          1.67515779           -2.62514961         
0.39         -5.06856394          2.44334173           -2.62522221         
0.4          -5.61718833          2.99196768           -2.62522066         
0.41         -5.91517103          3.28999472           -2.62517631         
0.42         -5.99998355          3.37486172           -2.62512183         
0.43         -5.93088055          3.30580282           -2.62507772         
0.44         -5.76336801          3.13832378           -2.62504423         
0.45         -5.54034591          2.91532469           -2.62502122         
0.46         -5.29167795          2.66667342           -2.62500453         
0.47         -5.03674507          2.41174769           -2.62499738         
0.48         -4.78738153          2.16239333           -2.6249882          
0.49         -4.55035794          1.92537761           -2.62498033         
0.5          -4.32916975          1.70419192           -2.62497783         
0.51         -4.12526214          1.50028396           -2.62497818         
0.52         -3.93884718          1.31386817           -2.62497902         
0.53         -3.76942921          1.1444521            -2.62497711         
0.54         -3.61614311          0.991164029          -2.62497908         
0.55         -3.47794139          0.852957666          -2.62498373         
0.56         -3.35371792          0.728735328          -2.6249826          
0.57         -3.24240232          0.617420435          -2.62498188         
0.58         -3.14298284          0.517997324          -2.62498552         
0.59         -3.05451822          0.429533362          -2.62498486         
0.6          -2.97617126          0.351186395          -2.62498486         
0.61         -2.90719163          0.282207161          -2.62498447         
0.62         -2.84692186          0.221936852          -2.62498501         
0.63         -2.79478562          0.169802964          -2.62498266         
0.64         -2.75029796          0.125313729          -2.62498423         
0.65         -2.71304047          0.0880530477         -2.62498742         
0.66         -2.68266052          0.0576754399         -2.62498508         
0.67         -2.65888631          0.0339015424         -2.62498477         
0.68         -2.64149934          0.0165142082         -2.62498513         
0.69         -2.63034081          0.00535557326        -2.62498524         
0.7          -2.62531149          0.000324751018       -2.62498674         
0.71         -2.62636399          0.00137637695        -2.62498762         
0.72         -2.63350976          0.00851993822        -2.62498982         
0.73         -2.64681154          0.02181991           -2.62499163         
0.74         -2.66638649          0.0413967036         -2.62498978         
0.75         -2.69241858          0.0674283803         -2.6249902          
0.76         -2.72514099          0.100153208          -2.62498778         
0.77         -2.76486254          0.139873013          -2.62498952         
0.78         -2.81194657          0.18695724           -2.62498933         
0.79         -2.86683369          0.241847515          -2.62498617         
0.8          -2.93005157          0.305062801          -2.62498876         
0.81         -3.00219297          0.377205133          -2.62498784         
0.82         -3.08395278          0.458964139          -2.62498865         
0.83         -3.17610776          0.551120937          -2.62498683         
0.84         -3.27953696          0.654549778          -2.62498719         
0.85         -3.39519989          0.770213246          -2.62498665         
0.86         -3.52413833          0.899151206          -2.62498713         
0.87         -3.66744125          1.04245341           -2.62498784         
0.88         -3.82620049          1.20121074           -2.62498975         
0.89         -4.0014149           1.37642586           -2.62498903         
0.9          -4.19385588          1.56886804           -2.62498784         
0.91         -4.40382063          1.77883005           -2.62499058         
0.92         -4.63073015          2.0057416            -2.62498856         
0.93         -4.87254488          2.24755812           -2.62498677         
0.94         -5.12481415          2.49982023           -2.62499392         
0.95         -5.37924278          2.7542398            -2.62500298         
0.96         -5.62169695          2.99667454           -2.62502241         
0.97         -5.8295095           3.20445967           -2.62504983         
0.98         -5.96852016          3.34343219           -2.62508798         
0.99         -5.99113727          3.36600065           -2.62513661         
1            -5.83889186          3.21370363           -2.62518823         
1.01         -5.4560895           2.83086848           -2.62522101         
1.02         -4.82276487          2.19756794           -2.62519693         
1.03         -4.00646818          1.38137686           -2.62509131         
1.04         -3.20204794          0.577124178          -2.62492377         
1.05         -2.69258147          0.0677942857         -2.62478719         
1.06         -2.69790566          0.0731075779         -2.62479808         
1.07         -3.21555841          0.590617537          -2.62494087         
