Time [s]     Potential            Kinetic              Total               
---------------------------------------------------------------------------
0            -6                   0.66618263           -5.33381737         
0.01         -5.99637687          0.662560321          -5.33381655         
0.02         -5.98624235          0.652426668          -5.33381569         
0.03         -5.97069257          0.636877708          -5.33381487         
0.04         -5.95076805          0.61695376           -5.33381429         
0.05         -5.92742229          0.593608271          -5.33381401         
0.06         -5.90151298          0.567699336          -5.33381364         
0.07         -5.87380803          0.539995186          -5.33381284         
0.08         -5.84499711          0.511184476          -5.33381263         
0.09         -5.81570065          0.481888108          -5.33381254         
0.1          -5.78648043          0.452668197          -5.33381223         
0.11         -5.75784588          0.424033917          -5.33381196         
0.12         -5.73025423          0.396442315          -5.33381192         
0.13         -5.70410752          0.37029583           -5.33381169         
0.14         -5.67974782          0.345937377          -5.33381044         
0.15         -5.65745485          0.32364377           -5.33381108         
0.16         -5.63743144          0.303620191          -5.33381125         
0.17         -5.61980754          0.28599673           -5.33381081         
0.18         -5.60463959          0.270828191          -5.3338114          
0.19         -5.59191006          0.258098196          -5.33381187         
0.2          -5.58153993          0.247726893          -5.33381304         
0.21         -5.57339442          0.239582049          -5.33381237         
0.22         -5.56730402          0.233491799          -5.33381222         
0.23         -5.56307006          0.229257802          -5.33381226         
0.24         -5.56047904          0.226667261          -5.33381178         
0.25         -5.55931455          0.225502664          -5.33381188         
0.26         -5.55936033          0.225547975          -5.33381235         
0.27         -5.56040478          0.226591989          -5.33381279         
0.28         -5.5622406           0.228428161          -5.33381244         
0.29         -5.5646652           0.230852501          -5.3338127          
0.3          -5.56747282          0.233659914          -5.3338129          
0.31         -5.57045388          0.236641053          -5.33381283         
0.32         -5.57339388          0.239580685          -5.3338132          
0.33         -5.57607335          0.242259488          -5.33381386         
0.34         -5.57827413          0.24446003           -5.3338141          
0.35         -5.57979339          0.245978706          -5.33381469         
0.36         -5.58045834          0.246643476          -5.33381487         
0.37         -5.58015203          0.246336891          -5.33381514         
0.38         -5.57883835          0.245022897          -5.33381545         
0.39         -5.57658803          0.242772656          -5.33381538         
0.4          -5.57360065          0.239785735          -5.33381492         
0.41         -5.57021391          0.236398785          -5.33381513         
0.42         -5.56689054          0.233075885          -5.33381465         
0.43         -5.56419075          0.230376379          -5.33381437         
0.44         -5.56271273          0.228899375          -5.33381335         
0.45         -5.56302458          0.229211061          -5.33381352         
0.46         -5.56557912          0.231766299          -5.33381282         
0.47         -5.57065302          0.236840146          -5.33381288         
0.48         -5.57829815          0.244485501          -5.33381265         
0.49         -5.5883404           0.2545271            -5.3338133          
0.5          -5.6004079           0.266593834          -5.33381406         
0.51         -5.61399746          0.280182936          -5.33381452         
0.52         -5.62855506          0.294740486          -5.33381457         
0.53         -5.64355683          0.309742409          -5.33381442         
0.54         -5.65857583          0.324760605          -5.33381523         
0.55         -5.67332065          0.339505713          -5.33381494         
0.56         -5.68765867          0.353843509          -5.33381516         
0.57         -5.70160252          0.367787812          -5.33381471         
0.58         -5.71529096          0.381475805          -5.33381516         
0.59         -5.7289477           0.395132798          -5.3338149          
0.6          -5.74284762          0.409032637          -5.33381498         
0.61         -5.75727332          0.423458936          -5.33381438         
0.62         -5.77248359          0.438669671          -5.33381392         
0.63         -5.78868008          0.454865909          -5.33381417         
0.64         -5.80597872          0.472164955          -5.33381376         
0.65         -5.82438898          0.490575896          -5.33381309         
0.66         -5.84378856          0.5099758            -5.33381276         
0.67         -5.86389714          0.530084101          -5.33381304         
0.68         -5.8842473           0.550433582          -5.33381372         
