Time [s]     Potential            Kinetic              Total               
---------------------------------------------------------------------------
0            -6                   6.00000012           1.1920929e-07       
0.01         -5.95397455          5.954005             3.04579735e-05      
0.02         -5.83881551          5.83886766           5.21540642e-05      
0.03         -5.68120217          5.68126953           6.73532486e-05      
0.04         -5.50060701          5.50068533           7.83205032e-05      
0.05         -5.31246787          5.31255651           8.86321068e-05      
0.06         -5.12994599          5.13004202           9.60230827e-05      
0.07         -4.9641999           4.96430248           0.000102579594      
0.08         -4.82361799          4.8237232            0.000105202198      
0.09         -4.71271145          4.71281707           0.000105619431      
0.1          -4.63149786          4.63160253           0.000104665756      
0.11         -4.57586241          4.57596195           9.95397568e-05      
0.12         -4.53886876          4.53896332           9.45627689e-05      
0.13         -4.51254782          4.51263756           8.97347927e-05      
0.14         -4.48952529          4.48961198           8.66949558e-05      
0.15         -4.4640784           4.46416247           8.40723515e-05      
0.16         -4.43252337          4.4326067            8.33272934e-05      
0.17         -4.39308834          4.39317143           8.30888748e-05      
0.18         -4.34550042          4.34558433           8.39084387e-05      
0.19         -4.29050204          4.29058576           8.37147236e-05      
0.2          -4.22940867          4.22949398           8.53091478e-05      
0.21         -4.16378105          4.16386729           8.6247921e-05       
0.22         -4.09519252          4.09528005           8.75294209e-05      
0.23         -4.0250982           4.02518654           8.83415341e-05      
0.24         -3.95476525          3.95485532           9.00775194e-05      
0.25         -3.88525058          3.88534117           9.05916095e-05      
0.26         -3.81739922          3.81749064           9.14186239e-05      
0.27         -3.75186595          3.75195855           9.26032662e-05      
0.28         -3.68913557          3.6892305            9.49278474e-05      
0.29         -3.62955087          3.62964684           9.59709287e-05      
0.3          -3.5733311           3.57342672           9.56244767e-05      
0.31         -3.52058787          3.52068412           9.6257776e-05       
0.32         -3.47134896          3.47144562           9.66563821e-05      
0.33         -3.42556103          3.42565984           9.88058746e-05      
0.34         -3.38310939          3.38320714           9.77478921e-05      
0.35         -3.34380561          3.34390193           9.63173807e-05      
0.36         -3.3074001           3.30749482           9.47229564e-05      
0.37         -3.27357611          3.27367207           9.59634781e-05      
0.38         -3.24195511          3.24204937           9.42610204e-05      
0.39         -3.21208299          3.21217608           9.30987298e-05      
0.4          -3.1834338           3.1835252            9.14074481e-05      
0.41         -3.15540936          3.15550125           9.18880105e-05      
0.42         -3.12735363          3.1274468            9.31732357e-05      
0.43         -3.09857009          3.09866202           9.19252634e-05      
0.44         -3.06835242          3.06844118           8.87643546e-05      
0.45         -3.03604053          3.03612968           8.91517848e-05      
0.46         -3.00111054          3.00119874           8.81943852e-05      
0.47         -2.96326176          2.96335027           8.85054469e-05      
0.48         -2.9225413           2.92263025           8.89468938e-05      
0.49         -2.87944423          2.87953353           8.92970711e-05      
0.5          -2.8349892           2.83507994           9.07387584e-05      
0.51         -2.79071325          2.79080445           9.11969692e-05      
0.52         -2.74855314          2.7486451            9.19606537e-05      
0.53         -2.71060545          2.71069965           9.41976905e-05      
0.54         -2.67879358          2.67888859           9.50079411e-05      
0.55         -2.65449861          2.65459335           9.47341323e-05      
0.56         -2.6382698           2.63836356           9.37581062e-05      
0.57         -2.62971032          2.62980151           9.11941752e-05      
0.58         -2.62754979          2.62764201           9.22139734e-05      
0.59         -2.62992757          2.63001804           9.04658809e-05      
0.6          -2.63472588          2.63481458           8.86982307e-05      
0.61         -2.63992257          2.64000944           8.68719071e-05      
0.62         -2.64384354          2.64392966           8.61212611e-05      
0.63         -2.645296            2.64538115           8.5148029e-05       
0.64         -2.64358418          2.64366888           8.46991315e-05      
0.65         -2.63844309          2.63852813           8.5038133e-05       
0.66         -2.62993429          2.63001847           8.41869041e-05      
0.67         -2.6183229           2.61840712           8.42139125e-05      
0.68         -2.60397689          2.6040627            8.5812062e-05       
0.69         -2.58728455          2.58737055           8.60067084e-05      
0.7          -2.56859005          2.56867578           8.5725449e-05       
0.71         -2.54816131          2.54824736           8.60448927e-05      
0.72         -2.52617808          2.52626456           8.64835456e-05      
0.73         -2.50273258          2.50281865           8.6074695e-05       
0.74         -2.47784444          2.47793086           8.64258036e-05      
0.75         -2.45149575          2.45158179           8.60346481e-05      
0.76         -2.42366681          2.42375325           8.64332542e-05      
0.77         -2.39438919          2.39447625           8.70628282e-05      
0.78         -2.36379873          2.36388532           8.65925103e-05      
0.79         -2.33218487          2.33227151           8.66353512e-05      
0.8          -2.30003236          2.30011909           8.67368653e-05      
0.81         -2.2680364           2.26812381           8.74106772e-05      
0.82         -2.23708303          2.23717062           8.75904225e-05      
0.83         -2.208184            2.20827186           8.78563151e-05      
0.84         -2.18237376          2.18246288           8.91224481e-05      
0.85         -2.1605766           2.16066536           8.87624919e-05      
0.86         -2.14346147          2.14355041           8.89361836e-05      
0.87         -2.13133785          2.13142733           8.94796103e-05      
0.88         -2.12410179          2.12418978           8.79876316e-05      
0.89         -2.1212426           2.12132967           8.70674849e-05      
0.9          -2.12193389          2.12202135           8.74535181e-05      
0.91         -2.12516188          2.12524846           8.65855254e-05      
0.92         -2.12986292          2.12994859           8.56672414e-05      
0.93         -2.13505442          2.13513881           8.43936577e-05      
0.94         -2.13992598          2.1400103            8.4313564e-05       
0.95         -2.14389275          2.14397654           8.3792489e-05       
0.96         -2.14659824          2.14668143           8.31885263e-05      
0.97         -2.147896            2.14797997           8.39726999e-05      
0.98         -2.14781106          2.14789513           8.40672292e-05      
0.99         -2.14648925          2.14657405           8.48025084e-05      
1            -2.1441548           2.14423999           8.51929653e-05      
1.01         -2.14106699          2.14115268           8.56940169e-05      
1.02         -2.13749009          2.13757572           8.56302213e-05      
1.03         -2.13366453          2.13375086           8.63298774e-05      
1.04         -2.12979369          2.12988016           8.6465152e-05       
1.05         -2.12602969          2.1261152            8.55156686e-05      
1.06         -2.12246371          2.12254882           8.51047225e-05      
1.07         -2.11912435          2.11921006           8.57168343e-05      
1.08         -2.11597954          2.1160647            8.51592049e-05      
1.09         -2.11292827          2.11301455           8.62830784e-05      
1.1          -2.10981453          2.10990107           8.65452457e-05      
1.11         -2.10642743          2.10651246           8.50232318e-05      
1.12         -2.1025088           2.10259354           8.47445335e-05      
1.13         -2.09777729          2.09786105           8.37640837e-05      
1.14         -2.09194584          2.09202841           8.25666357e-05      
1.15         -2.08475265          2.08483428           8.16269312e-05      
1.16         -2.07600132          2.07608208           8.07645265e-05      
1.17         -2.06560247          2.06568293           8.04646406e-05      
1.18         -2.05362478          2.0537063            8.15258827e-05      
1.19         -2.04033782          2.04042087           8.30560457e-05      
1.2          -2.02623926          2.02632312           8.3868159e-05       
1.21         -2.01205471          2.0121396            8.48972704e-05      
1.22         -1.99870389          1.99879028           8.63869209e-05      
1.23         -1.987222            1.98730934           8.73340759e-05      
1.24         -1.97863836          1.9787268            8.84479377e-05      
1.25         -1.9738352           1.97392491           8.97147693e-05      
1.26         -1.97341253          1.97350355           9.10244416e-05      
1.27         -1.97758674          1.9776778            9.10630915e-05      
1.28         -1.98614731          1.98623891           9.15976707e-05      
1.29         -1.99849421          1.99858558           9.13732219e-05      
1.3          -2.0137269           2.01381926           9.23619373e-05      
1.31         -2.03078113          2.03087378           9.26498324e-05      
1.32         -2.04856047          2.04865228           9.18095466e-05      
1.33         -2.06605198          2.06614326           9.12832329e-05      
1.34         -2.08240417          2.08249426           9.00913728e-05      
1.35         -2.09695664          2.0970457            8.90613301e-05      
1.36         -2.10923599          2.10932468           8.86910129e-05      
1.37         -2.11892537          2.11901369           8.83230241e-05      
1.38         -2.12581613          2.12590432           8.81891465e-05      
1.39         -2.12976276          2.12985123           8.84708716e-05      
1.4          -2.13064173          2.13072943           8.76988051e-05      
1.41         -2.12831943          2.12840736           8.79288418e-05      
1.42         -2.12264734          2.12273499           8.76561971e-05      
1.43         -2.11346542          2.11355309           8.76694685e-05      
1.44         -2.10063705          2.10072449           8.74373363e-05      
1.45         -2.08409885          2.08418669           8.7834429e-05       
1.46         -2.06393639          2.06402408           8.76822742e-05      
1.47         -2.0404648           2.04055289           8.80953157e-05      
1.48         -2.01431108          2.01439966           8.85751797e-05      
1.49         -1.98646689          1.98655668           8.97905556e-05      
1.5          -1.95829665          1.95838689           9.02332831e-05      
1.51         -1.93145666          1.93154737           9.0707792e-05       
1.52         -1.90773364          1.90782687           9.32273688e-05      
1.53         -1.88881281          1.88890721           9.43983905e-05      
1.54         -1.87600091          1.87609388           9.29648522e-05      
1.55         -1.86998763          1.8700805            9.2873699e-05       
1.56         -1.87072249          1.87081681           9.43222549e-05      
1.57         -1.87742645          1.87751865           9.2203496e-05       
1.58         -1.8887333           1.88882419           9.08965012e-05      
1.59         -1.90294978          1.90303987           9.00898594e-05      
1.6          -1.9183249           1.91841425           8.93454999e-05      
1.61         -1.93328486          1.93337309           8.82291934e-05      
