Time [s]     Potential            Kinetic              Total               
---------------------------------------------------------------------------
0            -6                   1.08720085           -4.91279915         
0.01         -5.98798478          1.07518949           -4.91279529         
0.02         -5.95525932          1.04246845           -4.91279087         
0.03         -5.90665537          0.993867174          -4.9127882          
0.04         -5.8465175           0.933732331          -4.91278517         
0.05         -5.77857339          0.865790382          -4.91278301         
0.06         -5.70595264          0.793171704          -4.91278094         
0.07         -5.63128692          0.718507241          -4.91277968         
0.08         -5.55682284          0.644044165          -4.91277867         
0.09         -5.48451656          0.571739517          -4.91277704         
0.1          -5.41609091          0.503314406          -4.9127765          
0.11         -5.35303807          0.440262195          -4.91277588         
0.12         -5.2965923           0.383817185          -4.91277511         
0.13         -5.24767643          0.334901739          -4.91277469         
0.14         -5.20684767          0.294074949          -4.91277272         
0.15         -5.17427975          0.261506967          -4.91277278         
0.16         -5.14976639          0.236994255          -4.91277213         
0.17         -5.13279158          0.220018879          -4.9127727          
0.18         -5.12261599          0.20984224           -4.91277375         
0.19         -5.11838847          0.205613479          -4.91277499         
0.2          -5.11924976          0.206472526          -4.91277723         
0.21         -5.1244064           0.211629544          -4.91277685         
0.22         -5.13318878          0.220411777          -4.91277701         
0.23         -5.14505333          0.232276641          -4.91277669         
0.24         -5.15957212          0.246795476          -4.91277665         
0.25         -5.17639297          0.263616333          -4.91277664         
0.26         -5.19519043          0.282414285          -4.91277615         
0.27         -5.21561337          0.302837508          -4.91277586         
0.28         -5.23723197          0.324455956          -4.91277601         
0.29         -5.2594946           0.346719325          -4.91277528         
0.3          -5.28170758          0.368931919          -4.91277567         
0.31         -5.30302882          0.39025237           -4.91277645         
0.32         -5.32250911          0.409730881          -4.91277823         
0.33         -5.33917445          0.42639602           -4.91277843         
0.34         -5.3521809           0.439401606          -4.91277929         
0.35         -5.36101604          0.448236328          -4.91277971         
0.36         -5.36575693          0.452977321          -4.91277961         
0.37         -5.36731398          0.454535548          -4.91277843         
0.38         -5.36758167          0.454803987          -4.91277768         
0.39         -5.36937106          0.456596285          -4.91277477         
0.4          -5.37605619          0.463282463          -4.91277373         
0.41         -5.39089257          0.478122264          -4.9127703          
0.42         -5.41620946          0.503440153          -4.91276931         
0.43         -5.45268202          0.539912523          -4.9127695          
0.44         -5.49902332          0.586251943          -4.91277137         
0.45         -5.55220336          0.639429646          -4.91277371         
0.46         -5.60812795          0.695351098          -4.91277685         
0.47         -5.66249883          0.749719638          -4.91277919         
0.48         -5.71157354          0.798792768          -4.91278077         
0.49         -5.7526291           0.839847464          -4.91278164         
0.5          -5.78409922          0.871317465          -4.91278176         
0.51         -5.80546606          0.892684542          -4.91278151         
0.52         -5.81702346          0.904241756          -4.9127817          
0.53         -5.81961137          0.906830966          -4.9127804          
0.54         -5.8143937           0.901613377          -4.91278032         
0.55         -5.80267             0.889890745          -4.91277926         
0.56         -5.78574961          0.872970529          -4.91277909         
