Time [s]   Potential       Kinetic         Total          
------------------------------------------------------------
0.000      -2.624999       6.000000        3.375001       
0.001      -2.620672       5.995667        3.374996       
0.002      -2.616474       5.991457        3.374983       
0.003      -2.612406       5.987367        3.374961       
0.004      -2.608467       5.983397        3.374931       
0.005      -2.604656       5.979548        3.374892       
0.006      -2.600971       5.975818        3.374846       
0.007      -2.597413       5.972207        3.374794       
0.008      -2.593980       5.968713        3.374733       
0.009      -2.590671       5.965337        3.374666       
0.010      -2.587486       5.962077        3.374592       
0.011      -2.584423       5.958934        3.374512       
0.012      -2.581481       5.955906        3.374425       
0.013      -2.578659       5.952994        3.374334       
0.014      -2.575958       5.950195        3.374238       
0.015      -2.573376       5.947511        3.374135       
0.016      -2.570910       5.944939        3.374030       
0.017      -2.568561       5.942481        3.373919       
0.018      -2.566329       5.940134        3.373805       
0.019      -2.564211       5.937898        3.373687       
0.020      -2.562208       5.935773        3.373565       
0.021      -2.560317       5.933759        3.373442       
0.022      -2.558538       5.931854        3.373315       
0.023      -2.556871       5.930058        3.373187       
0.024      -2.555314       5.928371        3.373056       
0.025      -2.553867       5.926791        3.372924       
0.026      -2.552527       5.925319        3.372792       
0.027      -2.551295       5.923954        3.372659       
0.028      -2.550171       5.922695        3.372524       
0.029      -2.549152       5.921542        3.372390       
0.030      -2.548238       5.920494        3.372255       
0.031      -2.547428       5.919551        3.372122       
0.032      -2.546721       5.918711        3.371990       
0.033      -2.546117       5.917976        3.371859       
0.034      -2.545614       5.917343        3.371730       
0.035      -2.545211       5.916813        3.371602       
0.036      -2.544908       5.916386        3.371478       
0.037      -2.544703       5.916059        3.371355       
0.038      -2.544597       5.915833        3.371236       
0.039      -2.544589       5.915708        3.371119       
0.040      -2.544676       5.915683        3.371007       
0.041      -2.544860       5.915757        3.370898       
0.042      -2.545138       5.915931        3.370793       
0.043      -2.545510       5.916202        3.370692       
0.044      -2.545974       5.916571        3.370597       
0.045      -2.546531       5.917038        3.370506       
0.046      -2.547180       5.917601        3.370421       
0.047      -2.547919       5.918261        3.370342       
0.048      -2.548748       5.919017        3.370269       
0.049      -2.549666       5.919868        3.370201       
0.050      -2.550672       5.920814        3.370141       
0.051      -2.551766       5.921854        3.370087       
0.052      -2.552947       5.922988        3.370041       
0.053      -2.554214       5.924215        3.370001       
0.054      -2.555566       5.925536        3.369970       
0.055      -2.557003       5.926948        3.369946       
0.056      -2.558524       5.928453        3.369929       
0.057      -2.560127       5.930048        3.369921       
0.058      -2.561814       5.931734        3.369921       
0.059      -2.563581       5.933511        3.369930       
0.060      -2.565429       5.935377        3.369948       
0.061      -2.567358       5.937332        3.369975       
0.062      -2.569366       5.939377        3.370011       
0.063      -2.571452       5.941509        3.370057       
0.064      -2.573617       5.943728        3.370112       
0.065      -2.575858       5.946035        3.370177       
0.066      -2.578176       5.948429        3.370253       
0.067      -2.580570       5.950908        3.370337       
0.068      -2.583039       5.953472        3.370433       
0.069      -2.585583       5.956122        3.370539       
0.070      -2.588200       5.958856        3.370657       
0.071      -2.590891       5.961674        3.370783       
0.072      -2.593654       5.964575        3.370921       
0.073      -2.596488       5.967558        3.371070       
0.074      -2.599394       5.970624        3.371230       
0.075      -2.602370       5.973771        3.371401       
0.076      -2.605415       5.976999        3.371584       
0.077      -2.608530       5.980307        3.371778       
0.078      -2.611712       5.983695        3.371983       
0.079      -2.614962       5.987162        3.372200       
0.080      -2.618279       5.990707        3.372428       
0.081      -2.621662       5.994331        3.372669       
0.082      -2.625110       5.998032        3.372921       
0.083      -2.628623       6.001809        3.373186       
0.084      -2.632201       6.005662        3.373461       
0.085      -2.635841       6.009591        3.373750       
