# Time	Pos	PotentialE	KineticE	TotalE
0.000000	1.300000	-0.657019	0.000003	-0.657017
0.010000	1.299860	-0.657321	0.000304	-0.657017
0.020000	1.299510	-0.658124	0.001107	-0.657017
0.030000	1.298920	-0.659430	0.002415	-0.657016
0.040000	1.298120	-0.661244	0.004228	-0.657016
0.050000	1.297080	-0.663568	0.006552	-0.657016
0.060000	1.295830	-0.666405	0.009390	-0.657016
0.070000	1.294340	-0.669762	0.012746	-0.657016
0.080000	1.292630	-0.673643	0.016628	-0.657016
0.090000	1.290700	-0.678056	0.021041	-0.657015
0.100000	1.288530	-0.683008	0.025993	-0.657015
0.110000	1.286140	-0.688506	0.031492	-0.657014
0.120000	1.283510	-0.694559	0.037546	-0.657014
0.130000	1.280660	-0.701175	0.044163	-0.657013
0.140000	1.277570	-0.708363	0.051351	-0.657012
0.150000	1.274250	-0.716129	0.059120	-0.657009
0.160000	1.270690	-0.724484	0.067475	-0.657009
0.170000	1.266900	-0.733432	0.076425	-0.657008
0.180000	1.262870	-0.742979	0.085973	-0.657006
0.190000	1.258610	-0.753127	0.096122	-0.657005
0.200000	1.254110	-0.763876	0.106873	-0.657003
0.210000	1.249360	-0.775221	0.118222	-0.657000
0.220000	1.244380	-0.787157	0.130159	-0.656999
0.230000	1.239160	-0.799666	0.142669	-0.656997
0.240000	1.233700	-0.812725	0.155730	-0.656996
0.250000	1.228000	-0.826301	0.169307	-0.656994
0.260000	1.222060	-0.840348	0.183356	-0.656992
0.270000	1.215890	-0.854807	0.197816	-0.656991
0.280000	1.209490	-0.869598	0.212608	-0.656990
0.290000	1.202850	-0.884621	0.227631	-0.656990
0.300000	1.195990	-0.899747	0.242756	-0.656991
0.310000	1.188920	-0.914818	0.257826	-0.656992
0.320000	1.181630	-0.929638	0.272643	-0.656994
0.330000	1.174150	-0.943967	0.286970	-0.656997
0.340000	1.166480	-0.957519	0.300517	-0.657002
0.350000	1.158650	-0.969953	0.312946	-0.657007
0.360000	1.150660	-0.980869	0.323856	-0.657013
0.370000	1.142550	-0.989808	0.332789	-0.657019
0.380000	1.134340	-0.996254	0.339228	-0.657026
0.390000	1.126070	-0.999636	0.342606	-0.657030
0.400000	1.117780	-0.999355	0.342325	-0.657030
0.410000	1.109510	-0.994802	0.337780	-0.657023
0.420000	1.101330	-0.985409	0.328405	-0.657004
0.430000	1.093290	-0.970704	0.313737	-0.656967
0.440000	1.085470	-0.950398	0.293492	-0.656906
0.450000	1.077940	-0.924466	0.267660	-0.656806
0.460000	1.070800	-0.893276	0.236615	-0.656661
0.470000	1.064150	-0.857665	0.201207	-0.656458
0.480000	1.058070	-0.819043	0.162837	-0.656206
0.490000	1.052680	-0.779290	0.123454	-0.655835
0.500000	1.048060	-0.740872	0.085485	-0.655387
0.510000	1.044330	-0.706506	0.051649	-0.654857
0.520000	1.041540	-0.678918	0.024667	-0.654251
0.530000	1.039780	-0.660498	0.006911	-0.653588
0.540000	1.039070	-0.652940	0.000051	-0.652889
0.550000	1.039450	-0.656969	0.004782	-0.652187
0.560000	1.040890	-0.672216	0.020707	-0.651510
0.570000	1.043380	-0.697282	0.046397	-0.650886
0.580000	1.046840	-0.729962	0.079626	-0.650336
0.590000	1.051220	-0.767583	0.117710	-0.649873
0.600000	1.056410	-0.807372	0.157866	-0.649505
0.610000	1.062330	-0.846727	0.197536	-0.649192
0.620000	1.068860	-0.883571	0.234603	-0.648968
0.630000	1.075920	-0.916305	0.267498	-0.648807
0.640000	1.083400	-0.943916	0.295217	-0.648698
0.650000	1.091200	-0.965895	0.317270	-0.648625
0.660000	1.099250	-0.982163	0.333582	-0.648581
0.670000	1.107480	-0.992945	0.344388	-0.648557
0.680000	1.115800	-0.998677	0.350131	-0.648546
0.690000	1.124170	-0.999918	0.351374	-0.648544
0.700000	1.132530	-0.997280	0.348733	-0.648546
0.710000	1.140840	-0.991380	0.342829	-0.648551
0.720000	1.149060	-0.982810	0.334253	-0.648557
0.730000	1.157170	-0.972110	0.323547	-0.648563
0.740000	1.165140	-0.959763	0.311195	-0.648568
0.750000	1.172940	-0.946192	0.297619	-0.648572
0.760000	1.180560	-0.931757	0.283181	-0.648576
0.770000	1.187980	-0.916764	0.268186	-0.648578
0.780000	1.195200	-0.901466	0.252887	-0.648579
0.790000	1.202200	-0.886072	0.237493	-0.648579
0.800000	1.208980	-0.870752	0.222173	-0.648579
0.810000	1.215530	-0.855641	0.207063	-0.648578
0.820000	1.221850	-0.840847	0.192271	-0.648576
0.830000	1.227940	-0.826456	0.177881	-0.648575
0.840000	1.233780	-0.812530	0.163956	-0.648574
0.850000	1.239390	-0.799119	0.150547	-0.648572
0.860000	1.244760	-0.786257	0.137687	-0.648569
0.870000	1.249890	-0.773969	0.125403	-0.648566
0.880000	1.254780	-0.762275	0.113709	-0.648566
0.890000	1.259430	-0.751180	0.102616	-0.648564
0.900000	1.263840	-0.740690	0.092127	-0.648563
0.910000	1.268010	-0.730805	0.082244	-0.648561
0.920000	1.271950	-0.721521	0.072962	-0.648559
0.930000	1.275650	-0.712836	0.064277	-0.648559
0.940000	1.279120	-0.704740	0.056183	-0.648557
0.950000	1.282360	-0.697226	0.048669	-0.648556
0.960000	1.285360	-0.690285	0.041729	-0.648556
0.970000	1.288140	-0.683908	0.035353	-0.648555
0.980000	1.290680	-0.678087	0.029532	-0.648554
0.990000	1.293000	-0.672811	0.024258	-0.648554
1.000000	1.295090	-0.668074	0.019521	-0.648553
1.010000	1.296950	-0.663866	0.015313	-0.648553
1.020000	1.298590	-0.660181	0.011628	-0.648552
1.030000	1.300000	-0.657012	0.008459	-0.648553
1.040000	1.301190	-0.654353	0.005799	-0.648553
1.050000	1.302160	-0.652198	0.003645	-0.648553
1.060000	1.302900	-0.650545	0.001991	-0.648554
1.070000	1.303420	-0.649388	0.000835	-0.648554
1.080000	1.303720	-0.648727	0.000173	-0.648554
1.090000	1.303790	-0.648561	0.000006	-0.648554
1.100000	1.303640	-0.648887	0.000333	-0.648554
1.110000	1.303270	-0.649709	0.001154	-0.648555
1.120000	1.302680	-0.651026	0.002471	-0.648555
1.130000	1.301870	-0.652841	0.004286	-0.648555
1.140000	1.300830	-0.655158	0.006603	-0.648555
1.150000	1.299570	-0.657982	0.009427	-0.648555
1.160000	1.298080	-0.661316	0.012762	-0.648554
1.170000	1.296370	-0.665170	0.016615	-0.648554
1.180000	1.294440	-0.669547	0.020993	-0.648554
1.190000	1.292280	-0.674457	0.025903	-0.648554
1.200000	1.289890	-0.679907	0.031353	-0.648554
1.210000	1.287270	-0.685906	0.037353	-0.648553
1.220000	1.284420	-0.692462	0.043910	-0.648552
1.230000	1.281340	-0.699586	0.051034	-0.648552
1.240000	1.278030	-0.707285	0.058734	-0.648551
1.250000	1.274490	-0.715567	0.067019	-0.648548
1.260000	1.270710	-0.724444	0.075896	-0.648548
1.270000	1.266700	-0.733918	0.085372	-0.648547
1.280000	1.262450	-0.743995	0.095450	-0.648545
1.290000	1.257960	-0.754678	0.106134	-0.648544
1.300000	1.253230	-0.765964	0.117422	-0.648542
1.310000	1.248270	-0.777847	0.129308	-0.648539
1.320000	1.243060	-0.790319	0.141781	-0.648538
1.330000	1.237620	-0.803357	0.154821	-0.648536
1.340000	1.231940	-0.816936	0.168402	-0.648534
1.350000	1.226010	-0.831016	0.182483	-0.648533
1.360000	1.219850	-0.845542	0.197011	-0.648531
1.370000	1.213460	-0.860447	0.211917	-0.648530
