# Time	Pos	PotentialE	KineticE	TotalE
0.000000	1.300000	-0.656892	0.000003	-0.656889
0.010000	1.299860	-0.657187	0.000304	-0.656883
0.020000	1.299510	-0.657973	0.001107	-0.656866
0.030000	1.298920	-0.658134	0.002413	-0.655721
0.040000	1.298120	-0.660053	0.004223	-0.655830
0.050000	1.297090	-0.662505	0.006542	-0.655963
0.060000	1.295830	-0.665488	0.009374	-0.656114
0.070000	1.294350	-0.669001	0.012724	-0.656277
0.080000	1.292640	-0.673044	0.016600	-0.656444
0.090000	1.290710	-0.677616	0.021007	-0.656609
0.100000	1.288540	-0.682713	0.025953	-0.656760
0.110000	1.286150	-0.688333	0.031446	-0.656887
0.120000	1.283530	-0.694473	0.037495	-0.656978
0.130000	1.280680	-0.701127	0.044107	-0.657020
0.140000	1.277590	-0.708289	0.051291	-0.656998
0.150000	1.274270	-0.714626	0.059053	-0.655573
0.160000	1.270720	-0.723457	0.067394	-0.656063
0.170000	1.266930	-0.732805	0.076332	-0.656473
0.180000	1.262910	-0.742655	0.085871	-0.656783
0.190000	1.258640	-0.752987	0.096014	-0.656973
0.200000	1.254140	-0.763780	0.106758	-0.657022
0.210000	1.249410	-0.773728	0.118099	-0.655629
0.220000	1.244430	-0.786306	0.130025	-0.656281
0.230000	1.239210	-0.799269	0.142528	-0.656742
0.240000	1.233750	-0.812567	0.155582	-0.656985
0.250000	1.228060	-0.826142	0.169154	-0.656988
0.260000	1.222120	-0.839362	0.183200	-0.656162
0.270000	1.215950	-0.854388	0.197659	-0.656730
0.280000	1.209550	-0.869436	0.212449	-0.656988
0.290000	1.202920	-0.884392	0.227469	-0.656923
0.300000	1.196060	-0.899154	0.242604	-0.656550
0.310000	1.188990	-0.914616	0.257682	-0.656934
0.320000	1.181710	-0.929450	0.272503	-0.656946
0.330000	1.174230	-0.943457	0.286848	-0.656609
0.340000	1.166560	-0.957362	0.300421	-0.656941
0.350000	1.158730	-0.969773	0.312866	-0.656907
0.360000	1.150740	-0.980418	0.323828	-0.656590
0.370000	1.142630	-0.989027	0.332944	-0.656083
0.380000	1.134420	-0.996054	0.339567	-0.656487
0.390000	1.126150	-0.999617	0.343023	-0.656594
0.400000	1.117850	-0.999476	0.342790	-0.656686
0.410000	1.109580	-0.994913	0.338391	-0.656522
0.420000	1.101390	-0.985504	0.329057	-0.656447
0.430000	1.093340	-0.971209	0.314469	-0.656740
0.440000	1.085510	-0.952556	0.294715	-0.657841
