# Time	Pos	PotentialE	KineticE	TotalE
0.000000	1.300000	-8.349325	0.000000	-8.349325
0.001000	1.299996	-8.349358	0.000033	-8.349325
0.002000	1.299984	-8.349458	0.000133	-8.349325
0.003000	1.299963	-8.349624	0.000299	-8.349325
0.004000	1.299935	-8.349857	0.000532	-8.349325
0.005000	1.299898	-8.350156	0.000832	-8.349325
0.006000	1.299853	-8.350523	0.001198	-8.349325
0.007000	1.299800	-8.350955	0.001631	-8.349325
0.008000	1.299739	-8.351454	0.002130	-8.349325
0.009000	1.299670	-8.352020	0.002696	-8.349325
0.010000	1.299592	-8.352653	0.003328	-8.349325
0.011000	1.299506	-8.353352	0.004028	-8.349325
0.012000	1.299413	-8.354119	0.004794	-8.349325
0.013000	1.299311	-8.354952	0.005627	-8.349325
0.014000	1.299200	-8.355851	0.006527	-8.349325
0.015000	1.299082	-8.356818	0.007493	-8.349325
0.016000	1.298956	-8.357852	0.008527	-8.349325
0.017000	1.298821	-8.358952	0.009628	-8.349325
0.018000	1.298678	-8.360120	0.010795	-8.349325
0.019000	1.298527	-8.361355	0.012030	-8.349325
0.020000	1.298368	-8.362657	0.013332	-8.349325
0.021000	1.298200	-8.364026	0.014702	-8.349325
0.022000	1.298025	-8.365463	0.016138	-8.349325
0.023000	1.297841	-8.366967	0.017643	-8.349325
0.024000	1.297649	-8.368539	0.019214	-8.349325
0.025000	1.297449	-8.370178	0.020853	-8.349325
0.026000	1.297241	-8.371885	0.022560	-8.349325
0.027000	1.297024	-8.373660	0.024335	-8.349325
0.028000	1.296800	-8.375502	0.026178	-8.349325
0.029000	1.296567	-8.377413	0.028088	-8.349325
0.030000	1.296325	-8.379391	0.030067	-8.349325
0.031000	1.296076	-8.381438	0.032114	-8.349324
0.032000	1.295819	-8.383554	0.034229	-8.349324
0.033000	1.295553	-8.385737	0.036413	-8.349324
0.034000	1.295279	-8.387989	0.038665	-8.349324
0.035000	1.294997	-8.390310	0.040986	-8.349324
0.036000	1.294706	-8.392700	0.043375	-8.349324
0.037000	1.294408	-8.395158	0.045834	-8.349324
0.038000	1.294101	-8.397686	0.048361	-8.349324
0.039000	1.293786	-8.400283	0.050958	-8.349324
0.040000	1.293462	-8.402949	0.053624	-8.349324
0.041000	1.293131	-8.405684	0.056360	-8.349324
0.042000	1.292791	-8.408490	0.059165	-8.349324
0.043000	1.292443	-8.411365	0.062040	-8.349324
0.044000	1.292086	-8.414309	0.064985	-8.349324
0.045000	1.291722	-8.417325	0.068000	-8.349324
0.046000	1.291349	-8.420410	0.071086	-8.349324
0.047000	1.290968	-8.423566	0.074241	-8.349324
0.048000	1.290578	-8.426792	0.077468	-8.349324
0.049000	1.290180	-8.430089	0.080765	-8.349324
0.050000	1.289774	-8.433457	0.084133	-8.349324
0.051000	1.289360	-8.436896	0.087572	-8.349324
0.052000	1.288937	-8.440407	0.091083	-8.349324
0.053000	1.288506	-8.443989	0.094665	-8.349324
0.054000	1.288067	-8.447643	0.098318	-8.349324
0.055000	1.287619	-8.451368	0.102044	-8.349324
0.056000	1.287163	-8.455166	0.105841	-8.349324
0.057000	1.286699	-8.459036	0.109711	-8.349324
0.058000	1.286227	-8.462978	0.113654	-8.349324
0.059000	1.285746	-8.466993	0.117669	-8.349324
0.060000	1.285256	-8.471081	0.121757	-8.349324
0.061000	1.284759	-8.475242	0.125918	-8.349324
0.062000	1.284253	-8.479477	0.130153	-8.349324
0.063000	1.283738	-8.483785	0.134461	-8.349324
0.064000	1.283216	-8.488167	0.138843	-8.349324
0.065000	1.282684	-8.492623	0.143299	-8.349324
0.066000	1.282145	-8.497153	0.147829	-8.349324
0.067000	1.281597	-8.501757	0.152433	-8.349324
0.068000	1.281041	-8.506437	0.157113	-8.349324
0.069000	1.280476	-8.511191	0.161867	-8.349324
0.070000	1.279903	-8.516020	0.166696	-8.349324
0.071000	1.279321	-8.520925	0.171601	-8.349324
0.072000	1.278731	-8.525906	0.176582	-8.349324
0.073000	1.278132	-8.530962	0.181638	-8.349324
0.074000	1.277526	-8.536095	0.186771	-8.349324
0.075000	1.276910	-8.541304	0.191980	-8.349324
0.076000	1.276286	-8.546590	0.197266	-8.349324
0.077000	1.275654	-8.551953	0.202629	-8.349324
0.078000	1.275013	-8.557393	0.208069	-8.349324
0.079000	1.274364	-8.562910	0.213586	-8.349324
0.080000	1.273706	-8.568506	0.219182	-8.349324
0.081000	1.273040	-8.574179	0.224855	-8.349324
0.082000	1.272365	-8.579931	0.230607	-8.349324
0.083000	1.271681	-8.585761	0.236437	-8.349324
0.084000	1.270989	-8.591670	0.242346	-8.349324
0.085000	1.270289	-8.597659	0.248335	-8.349324
0.086000	1.269580	-8.603726	0.254403	-8.349324
0.087000	1.268862	-8.609874	0.260550	-8.349324
0.088000	1.268136	-8.616101	0.266777	-8.349324
0.089000	1.267401	-8.622409	0.273085	-8.349324
0.090000	1.266658	-8.628797	0.279474	-8.349324
0.091000	1.265906	-8.635267	0.285943	-8.349324
0.092000	1.265146	-8.641817	0.292493	-8.349324
0.093000	1.264376	-8.648449	0.299125	-8.349324
0.094000	1.263599	-8.655162	0.305839	-8.349324
0.095000	1.262812	-8.661958	0.312634	-8.349324
0.096000	1.262017	-8.668836	0.319512	-8.349324
0.097000	1.261213	-8.675796	0.326473	-8.349324
0.098000	1.260401	-8.682840	0.333516	-8.349324
0.099000	1.259580	-8.689967	0.340643	-8.349324
0.100000	1.258750	-8.697177	0.347853	-8.349324
0.101000	1.257912	-8.704471	0.355147	-8.349324
0.102000	1.257065	-8.711849	0.362525	-8.349324
0.103000	1.256209	-8.719311	0.369988	-8.349323
0.104000	1.255344	-8.726858	0.377535	-8.349323
0.105000	1.254471	-8.734491	0.385167	-8.349323
0.106000	1.253589	-8.742208	0.392885	-8.349323
0.107000	1.252698	-8.750011	0.400687	-8.349323
0.108000	1.251798	-8.757900	0.408576	-8.349323
0.109000	1.250890	-8.765875	0.416551	-8.349323
0.110000	1.249973	-8.773936	0.424612	-8.349323
0.111000	1.249047	-8.782084	0.432760	-8.349323
0.112000	1.248112	-8.790319	0.440995	-8.349323
0.113000	1.247169	-8.798641	0.449317	-8.349323
0.114000	1.246216	-8.807050	0.457727	-8.349323
0.115000	1.245255	-8.815547	0.466224	-8.349323
0.116000	1.244285	-8.824133	0.474809	-8.349323
0.117000	1.243306	-8.832806	0.483483	-8.349323
0.118000	1.242318	-8.841568	0.492245	-8.349323
0.119000	1.241322	-8.850419	0.501096	-8.349323
0.120000	1.240316	-8.859359	0.510036	-8.349323
0.121000	1.239302	-8.868388	0.519065	-8.349323
0.122000	1.238278	-8.877506	0.528183	-8.349323
0.123000	1.237246	-8.886714	0.537391	-8.349323
0.124000	1.236205	-8.896012	0.546689	-8.349323
0.125000	1.235155	-8.905400	0.556077	-8.349323
0.126000	1.234096	-8.914878	0.565555	-8.349323
0.127000	1.233028	-8.924447	0.575124	-8.349323
0.128000	1.231951	-8.934106	0.584783	-8.349323
0.129000	1.230865	-8.943856	0.594533	-8.349323
0.130000	1.229770	-8.953696	0.604373	-8.349323
0.131000	1.228666	-8.963628	0.614305	-8.349323
0.132000	1.227553	-8.973651	0.624328	-8.349323
0.133000	1.226431	-8.983765	0.634442	-8.349323
0.134000	1.225300	-8.993970	0.644647	-8.349323
0.135000	1.224160	-9.004267	0.654944	-8.349323
0.136000	1.223011	-9.014655	0.665332	-8.349323
0.137000	1.221853	-9.025134	0.675811	-8.349323
0.138000	1.220686	-9.035705	0.686382	-8.349323
0.139000	1.219510	-9.046368	0.697044	-8.349323
0.140000	1.218325	-9.057122	0.707798	-8.349323
0.141000	1.217130	-9.067967	0.718644	-8.349323
0.142000	1.215927	-9.078903	0.729580	-8.349323
0.143000	1.214714	-9.089931	0.740608	-8.349323
0.144000	1.213493	-9.101050	0.751727	-8.349323
0.145000	1.212262	-9.112260	0.762937	-8.349323
0.146000	1.211022	-9.123561	0.774237	-8.349323
0.147000	1.209773	-9.134952	0.785629	-8.349323
0.148000	1.208515	-9.146433	0.797110	-8.349323
0.149000	1.207248	-9.158005	0.808682	-8.349323
0.150000	1.205972	-9.169667	0.820343	-8.349323
0.151000	1.204686	-9.181418	0.832094	-8.349323
0.152000	1.203392	-9.193258	0.843934	-8.349323
0.153000	1.202088	-9.205186	0.855863	-8.349324
0.154000	1.200775	-9.217203	0.867880	-8.349324
0.155000	1.199453	-9.229308	0.879984	-8.349324
0.156000	1.198122	-9.241500	0.892176	-8.349324
0.157000	1.196781	-9.253778	0.904454	-8.349324
0.158000	1.195432	-9.266142	0.916819	-8.349324
0.159000	1.194073	-9.278592	0.929268	-8.349324
0.160000	1.192705	-9.291126	0.941802	-8.349324
0.161000	1.191328	-9.303744	0.954420	-8.349324
0.162000	1.189942	-9.316445	0.967121	-8.349324
0.163000	1.188547	-9.329228	0.979903	-8.349324
0.164000	1.187142	-9.342091	0.992767	-8.349324
0.165000	1.185729	-9.355035	1.005711	-8.349324
0.166000	1.184306	-9.368057	1.018733	-8.349324
0.167000	1.182874	-9.381158	1.031833	-8.349324
0.168000	1.181433	-9.394334	1.045010	-8.349325
0.169000	1.179982	-9.407586	1.058261	-8.349325
0.170000	1.178523	-9.420911	1.071586	-8.349325
0.171000	1.177054	-9.434308	1.084983	-8.349325
0.172000	1.175577	-9.447776	1.098451	-8.349325
0.173000	1.174090	-9.461313	1.111987	-8.349325
0.174000	1.172594	-9.474916	1.125591	-8.349325
0.175000	1.171089	-9.488585	1.139260	-8.349326
0.176000	1.169575	-9.502317	1.152991	-8.349326
0.177000	1.168052	-9.516110	1.166784	-8.349326
0.178000	1.166520	-9.529962	1.180636	-8.349326
0.179000	1.164979	-9.543870	1.194544	-8.349326
0.180000	1.163429	-9.557832	1.208506	-8.349326
0.181000	1.161870	-9.571846	1.222520	-8.349327
0.182000	1.160301	-9.585909	1.236582	-8.349327
0.183000	1.158724	-9.600017	1.250690	-8.349327
0.184000	1.157138	-9.614168	1.264841	-8.349327
0.185000	1.155543	-9.628359	1.279031	-8.349328
0.186000	1.153939	-9.642586	1.293258	-8.349328
0.187000	1.152327	-9.656846	1.307518	-8.349328
0.188000	1.150705	-9.671135	1.321807	-8.349328
0.189000	1.149075	-9.685450	1.336121	-8.349329
0.190000	1.147436	-9.699786	1.350457	-8.349329
0.191000	1.145788	-9.714139	1.364810	-8.349329
0.192000	1.144131	-9.728505	1.379176	-8.349330
0.193000	1.142466	-9.742880	1.393549	-8.349330
0.194000	1.140793	-9.757257	1.407927	-8.349331
0.195000	1.139110	-9.771633	1.422302	-8.349331
0.196000	1.137419	-9.786002	1.436671	-8.349331
0.197000	1.135720	-9.800359	1.451027	-8.349332
0.198000	1.134012	-9.814697	1.465365	-8.349332
0.199000	1.132296	-9.829011	1.479679	-8.349333
0.200000	1.130572	-9.843295	1.493962	-8.349333
0.201000	1.128839	-9.857542	1.508208	-8.349334
0.202000	1.127098	-9.871745	1.522410	-8.349334
0.203000	1.125349	-9.885897	1.536562	-8.349335
0.204000	1.123592	-9.899991	1.550655	-8.349336
0.205000	1.121827	-9.914018	1.564682	-8.349336
0.206000	1.120054	-9.927972	1.578635	-8.349337
0.207000	1.118273	-9.941843	1.592506	-8.349337
0.208000	1.116485	-9.955623	1.606285	-8.349338
0.209000	1.114689	-9.969302	1.619964	-8.349339
0.210000	1.112885	-9.982872	1.633533	-8.349340
0.211000	1.111074	-9.996323	1.646982	-8.349340
0.212000	1.109255	-10.009643	1.660302	-8.349341
0.213000	1.107429	-10.022823	1.673481	-8.349342
0.214000	1.105596	-10.035852	1.686509	-8.349343
0.215000	1.103756	-10.048718	1.699374	-8.349344
0.216000	1.101909	-10.061410	1.712065	-8.349345
0.217000	1.100055	-10.073914	1.724568	-8.349346
0.218000	1.098195	-10.086219	1.736872	-8.349347
0.219000	1.096327	-10.098310	1.748962	-8.349348
0.220000	1.094454	-10.110175	1.760826	-8.349349
0.221000	1.092574	-10.121799	1.772449	-8.349350
0.222000	1.090688	-10.133168	1.783816	-8.349351
0.223000	1.088797	-10.144266	1.794913	-8.349353
0.224000	1.086899	-10.155077	1.805723	-8.349354
0.225000	1.084996	-10.165586	1.816231	-8.349355
0.226000	1.083087	-10.175776	1.826419	-8.349357
0.227000	1.081173	-10.185629	1.836271	-8.349358
0.228000	1.079254	-10.195127	1.845768	-8.349359
0.229000	1.077331	-10.204253	1.854892	-8.349361
0.230000	1.075402	-10.212987	1.863624	-8.349362
0.231000	1.073469	-10.221310	1.871946	-8.349364
0.232000	1.071532	-10.229201	1.879836	-8.349366
0.233000	1.069591	-10.236642	1.887274	-8.349367
0.234000	1.067647	-10.243609	1.894240	-8.349369
0.235000	1.065699	-10.250082	1.900711	-8.349371
0.236000	1.063747	-10.256039	1.906666	-8.349373
0.237000	1.061793	-10.261456	1.912081	-8.349375
0.238000	1.059836	-10.266311	1.916934	-8.349376
0.239000	1.057877	-10.270580	1.921201	-8.349378
0.240000	1.055916	-10.274238	1.924858	-8.349380
0.241000	1.053953	-10.277262	1.927880	-8.349382
0.242000	1.051989	-10.279627	1.930242	-8.349385
0.243000	1.050023	-10.281306	1.931919	-8.349387
0.244000	1.048057	-10.282274	1.932885	-8.349389
0.245000	1.046091	-10.282505	1.933114	-8.349391
0.246000	1.044125	-10.281973	1.932579	-8.349393
0.247000	1.042159	-10.280650	1.931255	-8.349395
0.248000	1.040194	-10.278511	1.929114	-8.349398
0.249000	1.038231	-10.275529	1.926129	-8.349400
0.250000	1.036269	-10.271676	1.922273	-8.349402
0.251000	1.034309	-10.266925	1.917521	-8.349405
0.252000	1.032352	-10.261251	1.911844	-8.349407
0.253000	1.030398	-10.254626	1.905217	-8.349409
0.254000	1.028448	-10.247024	1.897613	-8.349412
0.255000	1.026502	-10.238420	1.889006	-8.349414
0.256000	1.024561	-10.228788	1.879371	-8.349416
0.257000	1.022624	-10.218103	1.868684	-8.349418
0.258000	1.020694	-10.206341	1.856920	-8.349421
0.259000	1.018770	-10.193480	1.844057	-8.349423
0.260000	1.016853	-10.179498	1.830073	-8.349425
0.261000	1.014944	-10.164374	1.814947	-8.349427
0.262000	1.013043	-10.148088	1.798659	-8.349429
0.263000	1.011151	-10.130623	1.781192	-8.349431
0.264000	1.009268	-10.111963	1.762530	-8.349433
0.265000	1.007396	-10.092094	1.742660	-8.349434
0.266000	1.005534	-10.071003	1.721568	-8.349436
0.267000	1.003684	-10.048682	1.699245	-8.349437
0.268000	1.001847	-10.025123	1.675685	-8.349438
0.269000	1.000023	-10.000322	1.650883	-8.349439
0.270000	0.998213	-9.974278	1.624838	-8.349440
0.271000	0.996418	-9.946992	1.597552	-8.349441
0.272000	0.994638	-9.918471	1.569030	-8.349441
0.273000	0.992875	-9.888723	1.539282	-8.349441
0.274000	0.991129	-9.857762	1.508321	-8.349441
0.275000	0.989401	-9.825605	1.476165	-8.349440
0.276000	0.987692	-9.792274	1.442834	-8.349440
0.277000	0.986004	-9.757794	1.408356	-8.349439
0.278000	0.984336	-9.722199	1.372761	-8.349437
0.279000	0.982690	-9.685523	1.336087	-8.349436
0.280000	0.981066	-9.647808	1.298374	-8.349433
0.281000	0.979467	-9.609101	1.259670	-8.349431
0.282000	0.977892	-9.569456	1.220027	-8.349428
0.283000	0.976343	-9.528929	1.179504	-8.349425
0.284000	0.974820	-9.487586	1.138164	-8.349422
0.285000	0.973325	-9.445496	1.096078	-8.349418
0.286000	0.971859	-9.402734	1.053321	-8.349413
0.287000	0.970422	-9.359384	1.009975	-8.349408
0.288000	0.969016	-9.315532	0.966129	-8.349403
0.289000	0.967642	-9.271272	0.921874	-8.349398
0.290000	0.966301	-9.226702	0.877311	-8.349392
0.291000	0.964993	-9.181929	0.832543	-8.349386
0.292000	0.963720	-9.137060	0.787681	-8.349379
0.293000	0.962483	-9.092211	0.742839	-8.349372
0.294000	0.961282	-9.047502	0.698137	-8.349365
0.295000	0.960119	-9.003055	0.653698	-8.349357
0.296000	0.958995	-8.958999	0.609650	-8.349350
0.297000	0.957911	-8.915464	0.566122	-8.349342
0.298000	0.956867	-8.872583	0.523250	-8.349334
0.299000	0.955865	-8.830492	0.481166	-8.349325
0.300000	0.954905	-8.789327	0.440010	-8.349317
0.301000	0.953989	-8.749225	0.399917	-8.349309
0.302000	0.953117	-8.710326	0.361025	-8.349300
0.303000	0.952289	-8.672764	0.323472	-8.349292
0.304000	0.951508	-8.636675	0.287391	-8.349284
0.305000	0.950773	-8.602192	0.252916	-8.349276
0.306000	0.950085	-8.569444	0.220176	-8.349268
0.307000	0.949446	-8.538556	0.189295	-8.349261
0.308000	0.948855	-8.509647	0.160393	-8.349254
0.309000	0.948313	-8.482832	0.133585	-8.349247
0.310000	0.947821	-8.458219	0.108978	-8.349241
0.311000	0.947379	-8.435906	0.086671	-8.349235
0.312000	0.946988	-8.415987	0.066757	-8.349230
0.313000	0.946649	-8.398543	0.049317	-8.349226
0.314000	0.946360	-8.383647	0.034425	-8.349222
0.315000	0.946124	-8.371362	0.022144	-8.349218
0.316000	0.945939	-8.361741	0.012526	-8.349216
0.317000	0.945807	-8.354825	0.005611	-8.349214
0.318000	0.945728	-8.350643	0.001430	-8.349213
0.319000	0.945700	-8.349213	0.000000	-8.349212
0.320000	0.945726	-8.350541	0.001329	-8.349213
0.321000	0.945803	-8.354622	0.005409	-8.349214
0.322000	0.945934	-8.361439	0.012223	-8.349216
0.323000	0.946116	-8.370961	0.021743	-8.349218
0.324000	0.946351	-8.383148	0.033927	-8.349221
0.325000	0.946637	-8.397949	0.048724	-8.349225
0.326000	0.946975	-8.415301	0.066071	-8.349230
0.327000	0.947364	-8.435131	0.085896	-8.349235
0.328000	0.947804	-8.457356	0.108116	-8.349241
