# Time	Pos	PotentialE	KineticE	TotalE
0.000000	1.299999	-0.657019	0.000003	-0.657017
0.001000	1.299996	-0.657027	0.000010	-0.657017
0.002000	1.299990	-0.657039	0.000023	-0.657017
0.003000	1.299982	-0.657057	0.000040	-0.657017
0.004000	1.299972	-0.657080	0.000063	-0.657017
0.005000	1.299960	-0.657107	0.000090	-0.657017
0.006000	1.299945	-0.657140	0.000123	-0.657017
0.007000	1.299928	-0.657177	0.000161	-0.657017
0.008000	1.299909	-0.657220	0.000203	-0.657017
0.009000	1.299888	-0.657268	0.000251	-0.657017
0.010000	1.299864	-0.657321	0.000304	-0.657017
0.011000	1.299839	-0.657378	0.000361	-0.657017
0.012000	1.299811	-0.657441	0.000424	-0.657017
0.013000	1.299780	-0.657509	0.000492	-0.657017
0.014000	1.299748	-0.657582	0.000565	-0.657017
0.015000	1.299713	-0.657659	0.000643	-0.657017
0.016000	1.299676	-0.657742	0.000725	-0.657017
0.017000	1.299637	-0.657830	0.000813	-0.657017
0.018000	1.299596	-0.657923	0.000906	-0.657017
0.019000	1.299552	-0.658021	0.001004	-0.657017
0.020000	1.299506	-0.658124	0.001107	-0.657017
0.021000	1.299458	-0.658232	0.001215	-0.657017
0.022000	1.299407	-0.658345	0.001328	-0.657017
0.023000	1.299355	-0.658463	0.001446	-0.657017
0.024000	1.299300	-0.658586	0.001570	-0.657017
0.025000	1.299243	-0.658715	0.001698	-0.657017
0.026000	1.299183	-0.658848	0.001831	-0.657017
0.027000	1.299122	-0.658986	0.001969	-0.657017
0.028000	1.299058	-0.659130	0.002113	-0.657017
0.029000	1.298992	-0.659278	0.002261	-0.657017
0.030000	1.298923	-0.659431	0.002415	-0.657017
0.031000	1.298853	-0.659590	0.002573	-0.657017
0.032000	1.298780	-0.659754	0.002737	-0.657017
0.033000	1.298705	-0.659922	0.002905	-0.657017
0.034000	1.298627	-0.660096	0.003079	-0.657017
0.035000	1.298548	-0.660275	0.003258	-0.657017
0.036000	1.298466	-0.660459	0.003442	-0.657017
0.037000	1.298382	-0.660648	0.003631	-0.657017
0.038000	1.298295	-0.660842	0.003825	-0.657017
0.039000	1.298207	-0.661041	0.004024	-0.657017
0.040000	1.298116	-0.661245	0.004228	-0.657017
0.041000	1.298023	-0.661455	0.004438	-0.657017
0.042000	1.297928	-0.661669	0.004652	-0.657017
0.043000	1.297830	-0.661889	0.004872	-0.657017
0.044000	1.297730	-0.662113	0.005096	-0.657017
0.045000	1.297628	-0.662343	0.005326	-0.657017
0.046000	1.297524	-0.662578	0.005561	-0.657017
0.047000	1.297417	-0.662818	0.005801	-0.657017
0.048000	1.297308	-0.663063	0.006046	-0.657017
0.049000	1.297197	-0.663313	0.006297	-0.657017
0.050000	1.297084	-0.663569	0.006552	-0.657017
0.051000	1.296968	-0.663829	0.006813	-0.657017
0.052000	1.296850	-0.664095	0.007078	-0.657017
0.053000	1.296730	-0.664366	0.007349	-0.657017
0.054000	1.296608	-0.664642	0.007625	-0.657017
0.055000	1.296483	-0.664923	0.007906	-0.657017
0.056000	1.296357	-0.665209	0.008193	-0.657017
0.057000	1.296227	-0.665501	0.008484	-0.657017
0.058000	1.296096	-0.665798	0.008781	-0.657017
0.059000	1.295962	-0.666099	0.009082	-0.657017
0.060000	1.295826	-0.666406	0.009390	-0.657017
0.061000	1.295688	-0.666719	0.009702	-0.657017
0.062000	1.295548	-0.667036	0.010019	-0.657017
0.063000	1.295405	-0.667359	0.010342	-0.657017
0.064000	1.295260	-0.667686	0.010670	-0.657017
0.065000	1.295113	-0.668020	0.011003	-0.657017
0.066000	1.294964	-0.668358	0.011341	-0.657017
0.067000	1.294812	-0.668701	0.011684	-0.657017
0.068000	1.294658	-0.669050	0.012033	-0.657017
0.069000	1.294502	-0.669404	0.012387	-0.657017
0.070000	1.294343	-0.669763	0.012746	-0.657017
0.071000	1.294182	-0.670128	0.013111	-0.657017
0.072000	1.294019	-0.670497	0.013480	-0.657017
0.073000	1.293854	-0.670872	0.013855	-0.657017
0.074000	1.293686	-0.671252	0.014236	-0.657017
0.075000	1.293516	-0.671638	0.014621	-0.657017
0.076000	1.293344	-0.672029	0.015012	-0.657017
0.077000	1.293170	-0.672425	0.015408	-0.657017
0.078000	1.292993	-0.672826	0.015809	-0.657017
0.079000	1.292814	-0.673233	0.016216	-0.657017
0.080000	1.292633	-0.673645	0.016628	-0.657017
0.081000	1.292449	-0.674062	0.017045	-0.657017
0.082000	1.292264	-0.674485	0.017468	-0.657017
0.083000	1.292076	-0.674913	0.017896	-0.657017
0.084000	1.291885	-0.675346	0.018329	-0.657017
0.085000	1.291693	-0.675785	0.018768	-0.657017
0.086000	1.291498	-0.676228	0.019212	-0.657017
0.087000	1.291301	-0.676678	0.019661	-0.657017
0.088000	1.291101	-0.677133	0.020116	-0.657017
0.089000	1.290899	-0.677593	0.020576	-0.657017
0.090000	1.290695	-0.678058	0.021041	-0.657017
0.091000	1.290489	-0.678529	0.021512	-0.657017
0.092000	1.290281	-0.679005	0.021988	-0.657017
0.093000	1.290070	-0.679487	0.022470	-0.657017
0.094000	1.289857	-0.679974	0.022957	-0.657017
0.095000	1.289641	-0.680466	0.023449	-0.657017
0.096000	1.289424	-0.680964	0.023947	-0.657017
0.097000	1.289204	-0.681468	0.024451	-0.657017
0.098000	1.288981	-0.681976	0.024959	-0.657017
0.099000	1.288757	-0.682491	0.025474	-0.657017
0.100000	1.288530	-0.683010	0.025993	-0.657017
0.101000	1.288301	-0.683535	0.026519	-0.657017
0.102000	1.288069	-0.684066	0.027049	-0.657017
0.103000	1.287836	-0.684602	0.027585	-0.657017
0.104000	1.287599	-0.685144	0.028127	-0.657017
0.105000	1.287361	-0.685691	0.028674	-0.657017
0.106000	1.287121	-0.686243	0.029227	-0.657017
0.107000	1.286878	-0.686802	0.029785	-0.657017
0.108000	1.286632	-0.687365	0.030348	-0.657017
0.109000	1.286385	-0.687934	0.030917	-0.657017
0.110000	1.286135	-0.688509	0.031492	-0.657017
0.111000	1.285883	-0.689089	0.032072	-0.657017
0.112000	1.285629	-0.689675	0.032658	-0.657017
0.113000	1.285372	-0.690267	0.033250	-0.657017
0.114000	1.285113	-0.690864	0.033847	-0.657017
0.115000	1.284851	-0.691466	0.034449	-0.657017
0.116000	1.284588	-0.692074	0.035057	-0.657017
0.117000	1.284322	-0.692688	0.035671	-0.657017
0.118000	1.284054	-0.693307	0.036290	-0.657017
0.119000	1.283783	-0.693932	0.036915	-0.657017
